Zeit,TSLA,AAPL,EA,GOOG,ADS.DU,DAI.MU
14:30:04 ,272.2799987792969,190.0,96.6500015258789,1216.8299560546875,208.8000030517578,51.77000045776367
14:30:19 ,272.44000244140625,189.92999267578125,96.6500015258789,1216.8299560546875,208.8000030517578,51.77000045776367
14:30:34 ,272.3949890136719,190.24000549316406,96.70999908447266,1216.8599853515625,208.8000030517578,51.77000045776367
14:30:49 ,271.55999755859375,190.3300018310547,96.80999755859375,1216.97998046875,208.8000030517578,51.77000045776367
14:31:04 ,271.0911865234375,190.47000122070312,97.15519714355469,1218.7989501953125,208.8000030517578,51.77000045776367
14:31:19 ,271.6300048828125,190.6656951904297,97.19999694824219,1219.6180419921875,208.8000030517578,51.77000045776367
14:31:34 ,271.8789978027344,190.9499053955078,97.26000213623047,1219.6180419921875,208.8000030517578,51.77000045776367
14:31:49 ,272.01580810546875,190.73330688476562,97.2061996459961,1219.4815673828125,208.8000030517578,51.77000045776367
14:32:04 ,272.2850036621094,190.81300354003906,97.02010345458984,1219.0,208.8000030517578,51.77000045776367
14:32:19 ,272.010009765625,190.7899932861328,97.30999755859375,1219.030029296875,208.8000030517578,51.77000045776367
14:32:34 ,271.80999755859375,190.9199981689453,97.30999755859375,1219.2027587890625,208.8000030517578,51.77000045776367
14:32:49 ,271.5,190.8000030517578,97.37999725341797,1217.7900390625,208.8000030517578,51.77000045776367
14:33:04 ,271.7124938964844,190.89920043945312,97.18000030517578,1216.3677978515625,208.8000030517578,51.77000045776367
14:33:19 ,272.1648864746094,191.05499267578125,97.18000030517578,1213.1500244140625,208.8000030517578,51.77000045776367
14:33:34 ,273.0889892578125,191.08299255371094,97.18000030517578,1213.1500244140625,208.8000030517578,51.77000045776367
14:33:49 ,273.20001220703125,191.0,97.19999694824219,1215.0274658203125,208.8000030517578,51.77000045776367
14:34:04 ,272.2640075683594,190.8000030517578,97.29789733886719,1214.0999755859375,208.8000030517578,51.77000045776367
14:34:19 ,272.010009765625,190.85000610351562,97.16999816894531,1214.68994140625,208.8000030517578,51.77000045776367
14:34:34 ,272.1600036621094,191.00010681152344,97.33000183105469,1214.7850341796875,208.8000030517578,51.77000045776367
14:34:49 ,272.0199890136719,191.17999267578125,97.30000305175781,1216.0,208.8000030517578,51.77000045776367
14:35:04 ,272.04998779296875,191.3000030517578,97.30999755859375,1216.0,208.8000030517578,51.77000045776367
14:35:19 ,272.2099914550781,191.52000427246094,97.44000244140625,1216.0,208.8000030517578,51.77000045776367
14:35:34 ,272.260009765625,191.6999969482422,97.38999938964844,1216.31005859375,208.8000030517578,51.77000045776367
14:35:49 ,272.1499938964844,191.82000732421875,97.48500061035156,1216.550048828125,208.8000030517578,51.77000045776367
14:36:04 ,271.8800048828125,191.8300018310547,97.48500061035156,1217.5,208.8000030517578,51.77000045776367
14:36:19 ,271.6000061035156,191.8282928466797,97.7842025756836,1218.68505859375,208.8000030517578,51.77000045776367
14:36:34 ,271.4690856933594,191.8527069091797,97.73999786376953,1219.103759765625,208.8000030517578,51.77000045776367
14:36:49 ,271.5035095214844,191.92999267578125,97.94999694824219,1219.3599853515625,208.8000030517578,51.77000045776367
14:37:04 ,271.4096984863281,191.9199981689453,97.97000122070312,1219.3599853515625,208.8000030517578,51.77000045776367
14:37:19 ,271.4096984863281,191.9199981689453,97.97000122070312,1219.3599853515625,208.8000030517578,51.77000045776367
14:37:34 ,271.4096984863281,192.0800018310547,97.92289733886719,1219.22998046875,208.8000030517578,51.77000045776367
14:37:49 ,271.2431945800781,192.0800018310547,97.92289733886719,1219.22998046875,208.8000030517578,51.77000045776367
14:38:04 ,271.2431945800781,192.0800018310547,97.92289733886719,1219.22998046875,208.8000030517578,51.77000045776367
14:38:19 ,271.2431945800781,192.0800018310547,97.92289733886719,1219.22998046875,208.8000030517578,51.77000045776367
14:38:34 ,271.2300109863281,192.1300048828125,97.92289733886719,1219.22998046875,208.8000030517578,51.77000045776367
14:38:49 ,271.35321044921875,192.22000122070312,98.41999816894531,1219.22998046875,208.8000030517578,51.77000045776367
14:39:04 ,271.32000732421875,192.1699981689453,98.3499984741211,1219.469970703125,208.8000030517578,51.77000045776367
14:39:19 ,271.1449890136719,192.13999938964844,98.36000061035156,1219.56005859375,208.8000030517578,51.77000045776367
14:39:34 ,271.010009765625,192.00999450683594,98.5199966430664,1220.06005859375,208.8000030517578,51.77000045776367
14:39:49 ,270.80999755859375,191.88999938964844,98.41709899902344,1219.3399658203125,208.8000030517578,51.77000045776367
14:40:04 ,270.69000244140625,191.83999633789062,98.48999786376953,1220.0450439453125,208.8000030517578,51.77000045776367
14:40:19 ,270.8179931640625,191.7799072265625,98.61250305175781,1219.760009765625,208.8000030517578,51.77000045776367
14:40:34 ,271.0400085449219,191.75999450683594,98.69999694824219,1220.1600341796875,208.8000030517578,51.77000045776367
14:40:49 ,270.9800109863281,191.8000030517578,98.88999938964844,1220.1600341796875,208.8000030517578,51.77000045776367
14:41:04 ,270.8500061035156,191.75,99.08499908447266,1218.9000244140625,208.8000030517578,51.77000045776367
14:41:19 ,270.989990234375,191.89999389648438,99.0999984741211,1219.0,208.8000030517578,51.77000045776367
14:41:34 ,271.0899963378906,191.9600067138672,99.3550033569336,1217.6300048828125,208.8000030517578,51.77000045776367
14:41:49 ,271.19171142578125,191.80999755859375,99.41000366210938,1218.0830078125,208.8000030517578,51.77000045776367
14:42:04 ,271.1700134277344,191.8000030517578,99.5999984741211,1217.56005859375,208.8000030517578,51.77000045776367
