Zeit,TSLA,AAPL,EA,GOOG
Thu Feb 28 19:01:56 2019,317.1242980957031,174.3115997314453,97.08999633789062,1127.0699462890625
Thu Feb 28 19:02:06 2019,317.2699890136719,174.3115997314453,97.08679962158203,1127.0699462890625
Thu Feb 28 19:02:15 2019,317.2699890136719,174.30999755859375,97.08000183105469,1127.0699462890625
Thu Feb 28 19:02:25 2019,317.19140625,174.3000030517578,97.0999984741211,1127.0699462890625
Thu Feb 28 19:02:34 2019,317.30999755859375,174.30960083007812,97.0999984741211,1126.989990234375
Thu Feb 28 19:02:44 2019,317.4599914550781,174.30960083007812,97.08999633789062,1126.989990234375
Thu Feb 28 19:02:53 2019,317.36358642578125,174.30960083007812,97.08999633789062,1126.989990234375
Thu Feb 28 19:03:03 2019,317.54998779296875,174.30999755859375,97.08999633789062,1126.77001953125
Thu Feb 28 19:03:12 2019,317.67498779296875,174.31500244140625,97.08000183105469,1126.77001953125
Thu Feb 28 19:03:21 2019,317.48419189453125,174.30999755859375,97.08999633789062,1126.77001953125
Thu Feb 28 19:03:30 2019,317.5899963378906,174.30999755859375,97.05999755859375,1126.77001953125
Thu Feb 28 19:03:40 2019,317.3244934082031,174.31210327148438,97.02999877929688,1126.77001953125
Thu Feb 28 19:03:50 2019,317.3244934082031,174.3000030517578,97.0199966430664,1126.2750244140625
Thu Feb 28 19:03:59 2019,317.44000244140625,174.3000030517578,97.0199966430664,1126.2750244140625
Thu Feb 28 19:04:08 2019,316.9455871582031,174.3000030517578,97.05999755859375,1126.2750244140625
Thu Feb 28 19:04:18 2019,316.80780029296875,174.2899932861328,97.06999969482422,1126.2750244140625
Thu Feb 28 19:04:27 2019,317.0,174.3000030517578,97.05999755859375,1126.2750244140625
Thu Feb 28 19:04:37 2019,316.9800109863281,174.25489807128906,97.05000305175781,1126.2750244140625
Thu Feb 28 19:04:46 2019,316.81610107421875,174.24000549316406,97.0199966430664,1126.2750244140625
Thu Feb 28 19:04:55 2019,316.78900146484375,174.2449951171875,97.01000213623047,1126.2449951171875
Thu Feb 28 19:05:04 2019,316.70001220703125,174.24349975585938,97.01000213623047,1126.4599609375
Thu Feb 28 19:05:14 2019,316.70001220703125,174.2451934814453,97.0199966430664,1126.4599609375
Thu Feb 28 19:05:24 2019,316.7200012207031,174.24330139160156,97.03340148925781,1126.3599853515625
Thu Feb 28 19:05:33 2019,316.4927062988281,174.24000549316406,97.03340148925781,1126.3599853515625
Thu Feb 28 19:05:42 2019,316.57000732421875,174.24000549316406,97.01000213623047,1126.3599853515625
Thu Feb 28 19:05:51 2019,316.7099914550781,174.23989868164062,97.01000213623047,1126.3599853515625
Thu Feb 28 19:06:00 2019,316.7099914550781,174.2303924560547,96.98999786376953,1126.3599853515625
Thu Feb 28 19:06:10 2019,316.79998779296875,174.22999572753906,96.9800033569336,1126.25
Thu Feb 28 19:06:19 2019,316.9700012207031,174.22999572753906,96.9749984741211,1126.25
Thu Feb 28 19:06:28 2019,317.0899963378906,174.22000122070312,96.9749984741211,1126.25
Thu Feb 28 19:06:39 2019,317.05999755859375,174.21490478515625,96.9749984741211,1126.25
Thu Feb 28 19:06:48 2019,317.0491027832031,174.1999969482422,96.9749984741211,1126.2850341796875
Thu Feb 28 19:06:57 2019,317.0400085449219,174.1999969482422,96.96499633789062,1126.2349853515625
Thu Feb 28 19:07:07 2019,317.0480041503906,174.19500732421875,96.9749984741211,1126.2349853515625
Thu Feb 28 19:07:16 2019,317.17999267578125,174.21499633789062,96.99500274658203,1126.2349853515625
Thu Feb 28 19:07:25 2019,317.15618896484375,174.2115936279297,97.00499725341797,1126.25
Thu Feb 28 19:07:34 2019,317.0203857421875,174.1999969482422,97.00499725341797,1126.25
Thu Feb 28 19:07:44 2019,317.0,174.1999969482422,96.97000122070312,1126.25
Thu Feb 28 19:07:54 2019,317.0,174.1699981689453,96.9800033569336,1126.3370361328125
Thu Feb 28 19:08:03 2019,317.0,174.18150329589844,96.9800033569336,1126.3372802734375
Thu Feb 28 19:08:12 2019,317.0650939941406,174.19000244140625,96.9800033569336,1126.3900146484375
Thu Feb 28 19:08:21 2019,317.0650939941406,174.17999267578125,96.9800033569336,1126.409912109375
Thu Feb 28 19:08:31 2019,317.018798828125,174.19000244140625,96.9800033569336,1126.25
Thu Feb 28 19:08:41 2019,317.018798828125,174.17999267578125,96.95500183105469,1126.25
Thu Feb 28 19:08:50 2019,316.9601135253906,174.1999969482422,96.91999816894531,1126.25
Thu Feb 28 19:09:00 2019,317.1319885253906,174.19000244140625,96.91999816894531,1126.25
Thu Feb 28 19:09:09 2019,317.1687927246094,174.19000244140625,96.88999938964844,1126.25
Thu Feb 28 19:09:19 2019,317.1199951171875,174.19700622558594,96.88999938964844,1126.25
Thu Feb 28 19:09:29 2019,317.1199951171875,174.19000244140625,96.9000015258789,1126.25
Thu Feb 28 19:09:38 2019,317.1199951171875,174.1999969482422,96.9000015258789,1126.2099609375
Thu Feb 28 19:09:48 2019,317.25,174.19850158691406,96.87999725341797,1126.2099609375
Thu Feb 28 19:09:57 2019,317.2900085449219,174.2133026123047,96.91000366210938,1126.2099609375
Thu Feb 28 19:10:06 2019,317.2900085449219,174.2100067138672,96.90499877929688,1126.25
Thu Feb 28 19:10:16 2019,317.30999755859375,174.19000244140625,96.88999938964844,1126.2099609375
Thu Feb 28 19:10:25 2019,317.1995849609375,174.1699981689453,96.88999938964844,1126.2099609375
Thu Feb 28 19:10:35 2019,317.1824035644531,174.16000366210938,96.91500091552734,1126.2099609375
Thu Feb 28 19:10:45 2019,317.1824035644531,174.14999389648438,96.93000030517578,1126.2449951171875
Thu Feb 28 19:10:54 2019,317.1824035644531,174.14999389648438,96.94969940185547,1126.4300537109375
Thu Feb 28 19:11:03 2019,317.29998779296875,174.14999389648438,96.93000030517578,1126.4300537109375
Thu Feb 28 19:11:13 2019,317.3999938964844,174.1649932861328,96.95999908447266,1126.449951171875
Thu Feb 28 19:11:22 2019,317.3999938964844,174.13999938964844,96.95999908447266,1126.300048828125
Thu Feb 28 19:11:31 2019,317.3500061035156,174.13999938964844,96.9832992553711,1126.300048828125
Thu Feb 28 19:11:40 2019,317.4840087890625,174.15240478515625,97.0199966430664,1126.420166015625
Thu Feb 28 19:11:50 2019,317.3699951171875,174.15240478515625,97.0199966430664,1126.420166015625
Thu Feb 28 19:11:59 2019,317.3399963378906,174.1649932861328,97.01499938964844,1126.420166015625
Thu Feb 28 19:12:09 2019,317.3299865722656,174.1468048095703,96.97000122070312,1126.3599853515625
Thu Feb 28 19:12:18 2019,317.4100036621094,174.16000366210938,97.0,1126.3599853515625
Thu Feb 28 19:12:28 2019,317.4200134277344,174.14999389648438,97.0,1126.3599853515625
Thu Feb 28 19:12:37 2019,317.45001220703125,174.14999389648438,97.01000213623047,1126.3599853515625
Thu Feb 28 19:12:47 2019,317.45001220703125,174.16000366210938,97.01000213623047,1126.3599853515625
Thu Feb 28 19:12:56 2019,317.70001220703125,174.16000366210938,97.01000213623047,1126.3599853515625
Thu Feb 28 19:13:06 2019,317.5400085449219,174.1699981689453,96.99590301513672,1126.25
Thu Feb 28 19:13:16 2019,317.5,174.17999267578125,96.98999786376953,1126.25
Thu Feb 28 19:13:25 2019,317.5199890136719,174.19000244140625,97.01000213623047,1126.25
Thu Feb 28 19:13:35 2019,317.4544982910156,174.1999969482422,96.98999786376953,1126.3199462890625
Thu Feb 28 19:13:44 2019,317.4544982910156,174.19000244140625,97.01000213623047,1126.3199462890625
Thu Feb 28 19:13:54 2019,317.2449951171875,174.19000244140625,97.01000213623047,1126.3199462890625
Thu Feb 28 19:14:03 2019,317.2449951171875,174.19000244140625,97.05000305175781,1126.3199462890625
Thu Feb 28 19:14:13 2019,317.20001220703125,174.2100067138672,97.11499786376953,1126.3199462890625
Thu Feb 28 19:14:22 2019,317.2171936035156,174.22230529785156,97.11499786376953,1126.333740234375
Thu Feb 28 19:14:32 2019,317.20001220703125,174.22000122070312,97.0999984741211,1126.333740234375
Thu Feb 28 19:14:41 2019,317.17840576171875,174.2100067138672,97.0999984741211,1125.989990234375
Thu Feb 28 19:14:51 2019,317.010009765625,174.22000122070312,97.0999984741211,1125.989990234375
Thu Feb 28 19:15:00 2019,317.0386047363281,174.22500610351562,97.05999755859375,1125.989990234375
Thu Feb 28 19:15:09 2019,317.0386047363281,174.2100067138672,97.08999633789062,1125.989990234375
Thu Feb 28 19:15:20 2019,317.1499938964844,174.1999969482422,97.0999984741211,1125.989990234375
Thu Feb 28 19:15:29 2019,317.1224060058594,174.1999969482422,97.0999984741211,1125.989990234375
Thu Feb 28 19:15:39 2019,317.3500061035156,174.22000122070312,97.0999984741211,1126.030029296875
Thu Feb 28 19:15:49 2019,317.3158874511719,174.22000122070312,97.09500122070312,1126.030029296875
